Wavelength (Angstroms), Normalized intensity, Element
7706.7, 9865, 
7707.7, 9850, 
7708.7, 9839, 
7709.7, 9672, 
7710.7, 9783, 
7711.7, 6898, 
7712.7, 9405, 
7713.7, 9733, 
7714.7, 9616, 
7715.7, 9397, 
7716.7, 9860, 
7717.7, 9827, 
7718.7, 9869, 
7719.7, 9826, 
7720.7, 9351, 
7721.7, 9825, 
7722.7, 9460, 
7723.7, 9805, 
7724.7, 9833, 
7725.7, 9841, 
7726.7, 9836, 
7727.7, 7733, 
7728.7, 9867, 
7729.7, 9875, 
7730.7, 9873, 
7731.7, 9799, 
7732.7, 9733, 
7733.7, 9272, 
7734.7, 9864, 
7735.7, 9838, 
7736.7, 9849, 
7737.7, 9694, 
7738.7, 9885, 
7739.7, 9887, 
7740.7, 9876, 
7741.7, 9794, 
7742.7, 5436, 
7743.7, 9792, 
7744.7, 9865, 
7745.7, 9795, 
7746.7, 9596, 
7747.7, 9866, 
7748.7, 9568, 
7749.7, 9852, 
7750.7, 9838, 
7751.7, 9871, 
7752.7, 9876, 
7753.7, 9854, 
7754.7, 9858, 
7755.7, 9813, 
7756.7, 9864, 
7757.7, 9869, 
7758.7, 9846, 
7759.7, 9747, 
7760.7, 9186, 
7761.7, 9869, 
7762.7, 9893, 
7763.7, 9885, 
7764.7, 9641, 
7765.7, 9864, 
7766.7, 9846, 
7767.7, 9883, 
7768.7, 9873, 
7769.7, 9865, 
7770.7, 9861, 
7771.7, 9623, 
7772.7, 9832, 
7773.7, 9869, 
7774.7, 9871, 
7775.7, 9827, 
7776.7, 9809, 
7777.7, 9883, 
7778.7, 9885, 
7779.7, 9850, 
7780.7, 8339, 
7781.7, 9791, 
7782.7, 9862, 
7783.7, 9844, 
7784.7, 9884, 
7785.7, 9872, 
7786.7, 9884, 
7787.7, 9869, 
7788.7, 9745, 
7789.7, 9854, 
7790.7, 9829, 
7791.7, 9869, 
7792.7, 9867, 
7793.7, 9859, 
7794.7, 9852, 
7795.7, 9874, 
7796.7, 9878, 
7797.7, 8897, 
7798.7, 9779, 
7799.7, 9711, 
7800.7, 9796, 
7801.7, 9872, 
7802.7, 9828, 
7803.7, 9886, 
7804.7, 9826, 
7805.7, 9877, 
7806.7, 9834, 
7807.7, 9772, 
7808.7, 9884, 
7809.7, 9865, 
7810.7, 9542, 
7811.7, 9737, 
7812.7, 9870, 
7813.7, 9776, 
7814.7, 9878, 
7815.7, 9856, 
7816.7, 9867, 
7817.7, 9862, 
7818.7, 9827, 
7819.7, 9891, 
7820.7, 9809, 
7821.7, 9732, 
7822.7, 9873, 
7823.7, 9879, 
7824.7, 9868, 
7825.7, 9872, 
7826.7, 9410, 
7827.7, 9867, 
7828.7, 9889, 
7829.7, 9862, 
7830.7, 9821, 
7831.7, 9725, 
7832.7, 9540, 
7833.7, 9880, 
7834.7, 9790, 
7835.7, 9695, 
7836.7, 9736, 
7837.7, 9870, 
7838.7, 9881, 
7839.7, 9821, 
7840.7, 9852, 
7841.7, 9875, 
7842.7, 9834, 
7843.7, 9856, 
7844.7, 9826, 
7845.7, 9858, 
7846.7, 9873, 
7847.7, 9868, 
7848.7, 9705, 
7849.7, 9682, 
7850.7, 9762, 
7851.7, 9819, 
7852.7, 9684, 
7853.7, 9869, 
7854.7, 9868, 
7855.7, 9838, 
7856.7, 9879, 
7857.7, 9878, 
7858.7, 9870, 
7859.7, 9876, 
7860.7, 9780, 
7861.7, 9842, 
7862.7, 9851, 
7863.7, 9567, 
7864.7, 9875, 
7865.7, 9839, 
7866.7, 9843, 
7867.7, 9873, 
7868.7, 9860, 
7869.7, 9347, 
7870.7, 9859, 
7871.7, 9817, 
7872.7, 9663, 
7873.7, 9876, 
7874.7, 9872, 
7875.7, 9826, 
7876.7, 9782, 
7877.7, 9682, 
7878.7, 9815, 
7879.7, 9543, 
7880.7, 9652, 
7881.7, 9268, 
7882.7, 9844, 
7883.7, 9854, 
7884.7, 9894, 
7885.7, 9853, 
7886.7, 9763, 
7887.7, 9799, 
7888.7, 9859, 
7889.7, 9876, 
7890.7, 9799, 
7891.7, 9885, 
7892.7, 9845, 
7893.7, 9655, 
7894.7, 9826, 
7895.7, 9838, 
7896.7, 9664, 
7897.7, 9829, 
7898.7, 9875, 
7899.7, 9851, 
7900.7, 9636, 
7901.7, 9584, 
7902.7, 9885, 
7903.7, 9870, 
7904.7, 9850, 
7905.7, 9836, 
7906.7, 9713, 
7907.7, 9846, 
7908.7, 8600, 
7909.7, 9711, 
7910.7, 9663, 
7911.7, 9872, 
7912.7, 9784, 
7913.7, 9735, 
7914.7, 9870, 
7915.7, 9718, 
7916.7, 9832, 
7917.7, 9519, 
7918.7, 9666, 
7919.7, 9857, 
7920.7, 9468, 
7921.7, 9874, 
7922.7, 9652, 
7923.7, 9815, 
7924.7, 9847, 
7925.7, 9665, 
7926.7, 9813, 
7927.7, 9877, 
7928.7, 9720, 
7929.7, 9726, 
7930.7, 8999, 
7931.7, 9481, 
7932.7, 9619, 
7933.7, 9841, 
7934.7, 9859, 
7935.7, 9880, 
7936.7, 9645, 
7937.7, 9502, 
7938.7, 9675, 
7939.7, 9877, 
7940.7, 9803, 
7941.7, 9795, 
7942.7, 9752, 
7943.7, 9389, 
7944.7, 9748, 
7945.7, 7920, 
7946.7, 9478, 
7947.7, 9439, 
7948.7, 9795, 
7949.7, 9878, 
